No:0, Code:19, type:CLASS, value:Class, start:0, end:2
No:483, Code:21, type:SEPARATORS, value:., start:null, end:null

No:484, Code:20, type:ID, value:In, start:484, end:null

No:485, Code:20, type:ID, value:women, start:485, end:null

No:486, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:487, Code:20, type:ID, value:new-onset, start:487, end:null

No:488, Code:20, type:ID, value:insomnia, start:488, end:null

No:489, Code:20, type:ID, value:may, start:489, end:null

No:490, Code:20, type:ID, value:occur, start:490, end:null

No:491, Code:20, type:ID, value:during, start:491, end:null

No:492, Code:20, type:ID, value:menopause, start:492, end:null

No:493, Code:20, type:ID, value:and, start:493, end:null

No:494, Code:20, type:ID, value:persist, start:494, end:null

No:495, Code:20, type:ID, value:even, start:495, end:null

No:496, Code:20, type:ID, value:after, start:496, end:null

No:497, Code:20, type:ID, value:other, start:497, end:null

No:498, Code:20, type:ID, value:symptoms, start:498, end:null

No:499, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:500, Code:20, type:ID, value:e, start:500, end:null

No:501, Code:21, type:SEPARATORS, value:., start:null, end:null

No:502, Code:20, type:ID, value:g, start:502, end:null

No:503, Code:21, type:SEPARATORS, value:., start:null, end:null

No:504, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:505, Code:20, type:ID, value:hot, start:505, end:null

No:506, Code:20, type:ID, value:flashes, start:506, end:null

No:507, Code:21, type:SEPARATORS, value:), start:null, end:null

No:508, Code:20, type:ID, value:have, start:508, end:null

No:509, Code:20, type:ID, value:resolved, start:509, end:null

No:510, Code:21, type:SEPARATORS, value:., start:null, end:null

No:511, Code:20, type:ID, value:Insomnia, start:511, end:null

No:512, Code:20, type:ID, value:may, start:512, end:null

No:513, Code:20, type:ID, value:have, start:513, end:null

No:514, Code:20, type:ID, value:a, start:514, end:null

No:515, Code:20, type:ID, value:late-life, start:515, end:null

No:516, Code:20, type:ID, value:onset, start:516, end:null

No:517, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:518, Code:20, type:ID, value:which, start:518, end:null

No:519, Code:20, type:ID, value:is, start:519, end:null

No:520, Code:20, type:ID, value:often, start:520, end:null

No:521, Code:20, type:ID, value:associated, start:521, end:null

No:522, Code:20, type:ID, value:with, start:522, end:null

No:523, Code:20, type:ID, value:the, start:523, end:null

No:524, Code:20, type:ID, value:onset, start:524, end:null

No:525, Code:20, type:ID, value:of, start:525, end:null

No:526, Code:20, type:ID, value:other, start:526, end:null

No:527, Code:20, type:ID, value:health-related, start:527, end:null

No:528, Code:20, type:ID, value:conditions, start:528, end:null

No:529, Code:21, type:SEPARATORS, value:., start:null, end:null

No:530, Code:10, type:RAPFS, value:Risk-and-Prognostic-Factors, start:530, end:1148

No:531, Code:20, type:ID, value:While, start:531, end:null

No:532, Code:20, type:ID, value:the, start:532, end:null

No:533, Code:20, type:ID, value:risk, start:533, end:null

No:534, Code:20, type:ID, value:and, start:534, end:null

No:535, Code:20, type:ID, value:prognostic, start:535, end:null

No:536, Code:20, type:ID, value:factors, start:536, end:null

No:537, Code:20, type:ID, value:discussed, start:537, end:null

No:538, Code:20, type:ID, value:in, start:538, end:null

No:539, Code:20, type:ID, value:this, start:539, end:null

No:540, Code:20, type:ID, value:section, start:540, end:null

No:541, Code:20, type:ID, value:increase, start:541, end:null

No:542, Code:20, type:ID, value:vuhierability, start:542, end:null

No:543, Code:20, type:ID, value:to, start:543, end:null

No:544, Code:20, type:ID, value:insomnia, start:544, end:null

No:545, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:546, Code:20, type:ID, value:sleep, start:546, end:null

No:547, Code:20, type:ID, value:disturbances, start:547, end:null

No:548, Code:20, type:ID, value:are, start:548, end:null

No:549, Code:20, type:ID, value:more, start:549, end:null

No:550, Code:20, type:ID, value:likely, start:550, end:null

No:551, Code:20, type:ID, value:to, start:551, end:null

No:552, Code:20, type:ID, value:occur, start:552, end:null

No:553, Code:20, type:ID, value:when, start:553, end:null

No:554, Code:20, type:ID, value:predisposed, start:554, end:null

No:555, Code:20, type:ID, value:individuals, start:555, end:null

No:556, Code:20, type:ID, value:are, start:556, end:null

No:557, Code:20, type:ID, value:exposed, start:557, end:null

No:558, Code:20, type:ID, value:to, start:558, end:null

No:559, Code:20, type:ID, value:precipitating, start:559, end:null

No:560, Code:20, type:ID, value:events, start:560, end:null

No:561, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:562, Code:20, type:ID, value:such, start:562, end:null

No:563, Code:20, type:ID, value:as, start:563, end:null

No:564, Code:20, type:ID, value:major, start:564, end:null

No:565, Code:20, type:ID, value:life, start:565, end:null

No:566, Code:20, type:ID, value:events, start:566, end:null

No:567, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:568, Code:20, type:ID, value:e, start:568, end:null

No:569, Code:21, type:SEPARATORS, value:., start:null, end:null

No:570, Code:20, type:ID, value:g, start:570, end:null

No:571, Code:21, type:SEPARATORS, value:., start:null, end:null

No:572, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:573, Code:20, type:ID, value:illness, start:573, end:null

No:574, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:575, Code:20, type:ID, value:separation, start:575, end:null

No:576, Code:21, type:SEPARATORS, value:), start:null, end:null

No:577, Code:20, type:ID, value:or, start:577, end:null

No:578, Code:20, type:ID, value:less, start:578, end:null

No:579, Code:20, type:ID, value:severe, start:579, end:null

No:580, Code:20, type:ID, value:but, start:580, end:null

No:581, Code:20, type:ID, value:more, start:581, end:null

No:582, Code:20, type:ID, value:chronic, start:582, end:null

No:583, Code:20, type:ID, value:daily, start:583, end:null

No:584, Code:20, type:ID, value:stress, start:584, end:null

No:585, Code:21, type:SEPARATORS, value:., start:null, end:null

No:586, Code:20, type:ID, value:Most, start:586, end:null

No:587, Code:20, type:ID, value:individuals, start:587, end:null

No:588, Code:20, type:ID, value:resume, start:588, end:null

No:589, Code:20, type:ID, value:normal, start:589, end:null

No:590, Code:20, type:ID, value:sleep, start:590, end:null

No:591, Code:20, type:ID, value:patterns, start:591, end:null

No:592, Code:20, type:ID, value:after, start:592, end:null

No:593, Code:20, type:ID, value:the, start:593, end:null

No:594, Code:20, type:ID, value:initial, start:594, end:null

No:595, Code:20, type:ID, value:triggering, start:595, end:null

No:596, Code:20, type:ID, value:event, start:596, end:null

No:597, Code:20, type:ID, value:has, start:597, end:null

No:598, Code:20, type:ID, value:disappeared, start:598, end:null

No:599, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:600, Code:20, type:ID, value:but, start:600, end:null

No:601, Code:20, type:ID, value:othersperhaps, start:601, end:null

No:602, Code:20, type:ID, value:those, start:602, end:null

No:603, Code:20, type:ID, value:more, start:603, end:null

No:604, Code:20, type:ID, value:vulnerable, start:604, end:null

No:605, Code:20, type:ID, value:to, start:605, end:null

No:606, Code:20, type:ID, value:insomniacontinue, start:606, end:null

No:607, Code:20, type:ID, value:experiencing, start:607, end:null

No:608, Code:20, type:ID, value:persistent, start:608, end:null

No:609, Code:20, type:ID, value:sleep, start:609, end:null

No:610, Code:20, type:ID, value:difficulties, start:610, end:null

No:611, Code:21, type:SEPARATORS, value:., start:null, end:null

No:612, Code:20, type:ID, value:Perpetuating, start:612, end:null

No:613, Code:20, type:ID, value:factors, start:613, end:null

No:614, Code:20, type:ID, value:such, start:614, end:null

No:615, Code:20, type:ID, value:as, start:615, end:null

No:616, Code:20, type:ID, value:poor, start:616, end:null

No:617, Code:20, type:ID, value:sleep, start:617, end:null

No:618, Code:20, type:ID, value:habits, start:618, end:null

No:619, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:620, Code:20, type:ID, value:irregular, start:620, end:null

No:621, Code:20, type:ID, value:sleep, start:621, end:null

No:622, Code:20, type:ID, value:scheduling, start:622, end:null

No:623, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:624, Code:20, type:ID, value:and, start:624, end:null

No:625, Code:20, type:ID, value:the, start:625, end:null

No:626, Code:20, type:ID, value:fear, start:626, end:null

No:627, Code:20, type:ID, value:of, start:627, end:null

No:628, Code:20, type:ID, value:not, start:628, end:null

No:629, Code:20, type:ID, value:sleeping, start:629, end:null

No:630, Code:20, type:ID, value:feed, start:630, end:null

No:631, Code:20, type:ID, value:into, start:631, end:null

No:632, Code:20, type:ID, value:the, start:632, end:null

No:633, Code:20, type:ID, value:insomnia, start:633, end:null

No:634, Code:20, type:ID, value:problem, start:634, end:null

No:635, Code:20, type:ID, value:and, start:635, end:null

No:636, Code:20, type:ID, value:may, start:636, end:null

No:637, Code:20, type:ID, value:contribute, start:637, end:null

No:638, Code:20, type:ID, value:to, start:638, end:null

No:639, Code:20, type:ID, value:a, start:639, end:null

No:640, Code:20, type:ID, value:vicious, start:640, end:null

No:641, Code:20, type:ID, value:cycle, start:641, end:null

No:642, Code:20, type:ID, value:that, start:642, end:null

No:643, Code:20, type:ID, value:may, start:643, end:null

No:644, Code:20, type:ID, value:induce, start:644, end:null

No:645, Code:20, type:ID, value:persistent, start:645, end:null

No:646, Code:20, type:ID, value:insomnia, start:646, end:null

No:647, Code:21, type:SEPARATORS, value:., start:null, end:null

No:648, Code:20, type:ID, value:Temperamental, start:648, end:null

No:649, Code:21, type:SEPARATORS, value:., start:null, end:null

No:650, Code:20, type:ID, value:Anxiety, start:650, end:null

No:651, Code:20, type:ID, value:or, start:651, end:null

No:652, Code:20, type:ID, value:worry-prone, start:652, end:null

No:653, Code:20, type:ID, value:personality, start:653, end:null

No:654, Code:20, type:ID, value:or, start:654, end:null

No:655, Code:20, type:ID, value:cognitive, start:655, end:null

No:656, Code:20, type:ID, value:styles, start:656, end:null

No:657, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:658, Code:20, type:ID, value:increased, start:658, end:null

No:659, Code:20, type:ID, value:arousal, start:659, end:null

No:660, Code:20, type:ID, value:predisposition, start:660, end:null

No:661, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:662, Code:20, type:ID, value:and, start:662, end:null

No:663, Code:20, type:ID, value:tendency, start:663, end:null

No:664, Code:20, type:ID, value:to, start:664, end:null

No:665, Code:20, type:ID, value:repress, start:665, end:null

No:666, Code:20, type:ID, value:emotions, start:666, end:null

No:667, Code:20, type:ID, value:can, start:667, end:null

No:668, Code:20, type:ID, value:increase, start:668, end:null

No:669, Code:20, type:ID, value:vulnerability, start:669, end:null

No:670, Code:20, type:ID, value:to, start:670, end:null

No:671, Code:20, type:ID, value:insomnia, start:671, end:null

No:672, Code:21, type:SEPARATORS, value:., start:null, end:null

No:673, Code:20, type:ID, value:Environmental, start:673, end:null

No:674, Code:21, type:SEPARATORS, value:., start:null, end:null

No:675, Code:20, type:ID, value:Noise, start:675, end:null

No:676, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:677, Code:20, type:ID, value:light, start:677, end:null

No:678, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:679, Code:20, type:ID, value:uncomfortably, start:679, end:null

No:680, Code:20, type:ID, value:high, start:680, end:null

No:681, Code:20, type:ID, value:or, start:681, end:null

No:682, Code:20, type:ID, value:low, start:682, end:null

No:683, Code:20, type:ID, value:temperature, start:683, end:null

No:684, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:685, Code:20, type:ID, value:and, start:685, end:null

No:686, Code:20, type:ID, value:high, start:686, end:null

No:687, Code:20, type:ID, value:altitude, start:687, end:null

No:688, Code:20, type:ID, value:may, start:688, end:null

No:689, Code:20, type:ID, value:also, start:689, end:null

No:690, Code:20, type:ID, value:increase, start:690, end:null

No:691, Code:20, type:ID, value:vulnerability, start:691, end:null

No:692, Code:20, type:ID, value:to, start:692, end:null

No:693, Code:20, type:ID, value:insomnia, start:693, end:null

No:694, Code:21, type:SEPARATORS, value:., start:null, end:null

No:695, Code:20, type:ID, value:Genetic, start:695, end:null

No:696, Code:20, type:ID, value:and, start:696, end:null

No:697, Code:20, type:ID, value:physiological, start:697, end:null

No:698, Code:21, type:SEPARATORS, value:., start:null, end:null

No:699, Code:20, type:ID, value:Female, start:699, end:null

No:700, Code:20, type:ID, value:gender, start:700, end:null

No:701, Code:20, type:ID, value:and, start:701, end:null

No:702, Code:20, type:ID, value:advancing, start:702, end:null

No:703, Code:20, type:ID, value:age, start:703, end:null

No:704, Code:20, type:ID, value:are, start:704, end:null

No:705, Code:20, type:ID, value:associated, start:705, end:null

No:706, Code:20, type:ID, value:with, start:706, end:null

No:707, Code:20, type:ID, value:increased, start:707, end:null

No:708, Code:20, type:ID, value:vulnerability, start:708, end:null

No:709, Code:20, type:ID, value:to, start:709, end:null

No:710, Code:20, type:ID, value:insomnia, start:710, end:null

No:711, Code:21, type:SEPARATORS, value:., start:null, end:null

No:712, Code:20, type:ID, value:Disrupted, start:712, end:null

No:713, Code:20, type:ID, value:sleep, start:713, end:null

No:714, Code:20, type:ID, value:and, start:714, end:null

No:715, Code:20, type:ID, value:insomnia, start:715, end:null

No:716, Code:20, type:ID, value:display, start:716, end:null

No:717, Code:20, type:ID, value:a, start:717, end:null

No:718, Code:20, type:ID, value:familial, start:718, end:null

No:719, Code:20, type:ID, value:disposition, start:719, end:null

No:720, Code:21, type:SEPARATORS, value:., start:null, end:null

No:721, Code:20, type:ID, value:The, start:721, end:null

No:722, Code:20, type:ID, value:prevalence, start:722, end:null

No:723, Code:20, type:ID, value:of, start:723, end:null

No:724, Code:20, type:ID, value:insomnia, start:724, end:null

No:725, Code:20, type:ID, value:is, start:725, end:null

No:726, Code:20, type:ID, value:higher, start:726, end:null

No:727, Code:20, type:ID, value:among, start:727, end:null

No:728, Code:20, type:ID, value:monozygotic, start:728, end:null

No:729, Code:20, type:ID, value:twins, start:729, end:null

No:730, Code:20, type:ID, value:relative, start:730, end:null

No:731, Code:20, type:ID, value:to, start:731, end:null

No:732, Code:20, type:ID, value:dizygotic, start:732, end:null

No:733, Code:20, type:ID, value:twins, start:733, end:null

No:734, Code:21, type:SEPARATORS, value:;, start:null, end:null

No:735, Code:20, type:ID, value:it, start:735, end:null

No:736, Code:20, type:ID, value:is, start:736, end:null

No:737, Code:20, type:ID, value:also, start:737, end:null

No:738, Code:20, type:ID, value:higher, start:738, end:null

No:739, Code:20, type:ID, value:in, start:739, end:null

No:740, Code:20, type:ID, value:first-degree, start:740, end:null

No:741, Code:20, type:ID, value:family, start:741, end:null

No:742, Code:20, type:ID, value:members, start:742, end:null

No:743, Code:20, type:ID, value:compared, start:743, end:null

No:744, Code:20, type:ID, value:with, start:744, end:null

No:745, Code:20, type:ID, value:the, start:745, end:null

No:746, Code:20, type:ID, value:general, start:746, end:null

No:747, Code:20, type:ID, value:population, start:747, end:null

No:748, Code:21, type:SEPARATORS, value:., start:null, end:null

No:749, Code:20, type:ID, value:The, start:749, end:null

No:750, Code:20, type:ID, value:extent, start:750, end:null

No:751, Code:20, type:ID, value:to, start:751, end:null

No:752, Code:20, type:ID, value:which, start:752, end:null

No:753, Code:20, type:ID, value:this, start:753, end:null

No:754, Code:20, type:ID, value:link, start:754, end:null

No:755, Code:20, type:ID, value:is, start:755, end:null

No:756, Code:20, type:ID, value:inherited, start:756, end:null

No:757, Code:20, type:ID, value:through, start:757, end:null

No:758, Code:20, type:ID, value:a, start:758, end:null

No:759, Code:20, type:ID, value:genetic, start:759, end:null

No:760, Code:20, type:ID, value:predisposition, start:760, end:null

No:761, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:762, Code:20, type:ID, value:learned, start:762, end:null

No:763, Code:20, type:ID, value:by, start:763, end:null

No:764, Code:20, type:ID, value:observations, start:764, end:null

No:765, Code:20, type:ID, value:of, start:765, end:null

No:766, Code:20, type:ID, value:parental, start:766, end:null

No:767, Code:20, type:ID, value:models, start:767, end:null

No:768, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:769, Code:20, type:ID, value:or, start:769, end:null

No:770, Code:20, type:ID, value:established, start:770, end:null

No:771, Code:20, type:ID, value:as, start:771, end:null

No:772, Code:20, type:ID, value:a, start:772, end:null

No:773, Code:20, type:ID, value:by-product, start:773, end:null

No:774, Code:20, type:ID, value:of, start:774, end:null

No:775, Code:20, type:ID, value:another, start:775, end:null

No:776, Code:20, type:ID, value:psychopathology, start:776, end:null

No:777, Code:20, type:ID, value:remains, start:777, end:null

No:778, Code:20, type:ID, value:undetermined, start:778, end:null

No:779, Code:21, type:SEPARATORS, value:., start:null, end:null

No:780, Code:20, type:ID, value:Course, start:780, end:null

No:781, Code:20, type:ID, value:modifiers, start:781, end:null

No:782, Code:21, type:SEPARATORS, value:., start:null, end:null

No:783, Code:20, type:ID, value:Deleterious, start:783, end:null

No:784, Code:20, type:ID, value:course, start:784, end:null

No:785, Code:20, type:ID, value:modifiers, start:785, end:null

No:786, Code:20, type:ID, value:include, start:786, end:null

No:787, Code:20, type:ID, value:poor, start:787, end:null

No:788, Code:20, type:ID, value:sleep, start:788, end:null

No:789, Code:20, type:ID, value:hygiene, start:789, end:null

No:790, Code:20, type:ID, value:practices, start:790, end:null

No:791, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:792, Code:20, type:ID, value:e, start:792, end:null

No:793, Code:21, type:SEPARATORS, value:., start:null, end:null

No:794, Code:20, type:ID, value:g, start:794, end:null

No:795, Code:21, type:SEPARATORS, value:., start:null, end:null

No:796, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:797, Code:20, type:ID, value:excessive, start:797, end:null

No:798, Code:20, type:ID, value:caffeine, start:798, end:null

No:799, Code:20, type:ID, value:use, start:799, end:null

No:800, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:801, Code:20, type:ID, value:irregular, start:801, end:null

No:802, Code:20, type:ID, value:sleep, start:802, end:null

No:803, Code:20, type:ID, value:schedules, start:803, end:null

No:804, Code:21, type:SEPARATORS, value:), start:null, end:null

No:805, Code:21, type:SEPARATORS, value:., start:null, end:null

No:806, Code:20, type:ID, value:Gender-Reiated, start:806, end:null

No:807, Code:20, type:ID, value:Diagnostic, start:807, end:null

No:808, Code:20, type:ID, value:issues, start:808, end:null

No:809, Code:20, type:ID, value:Insomnia, start:809, end:null

No:810, Code:20, type:ID, value:is, start:810, end:null

No:811, Code:20, type:ID, value:a, start:811, end:null

No:812, Code:20, type:ID, value:more, start:812, end:null

No:813, Code:20, type:ID, value:prevalent, start:813, end:null

No:814, Code:20, type:ID, value:complaint, start:814, end:null

No:815, Code:20, type:ID, value:among, start:815, end:null

No:816, Code:20, type:ID, value:females, start:816, end:null

No:817, Code:20, type:ID, value:than, start:817, end:null

No:818, Code:20, type:ID, value:among, start:818, end:null

No:819, Code:20, type:ID, value:males, start:819, end:null

No:820, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:821, Code:20, type:ID, value:with, start:821, end:null

No:822, Code:20, type:ID, value:first, start:822, end:null

No:823, Code:20, type:ID, value:onset, start:823, end:null

No:824, Code:20, type:ID, value:often, start:824, end:null

No:825, Code:20, type:ID, value:associated, start:825, end:null

No:826, Code:20, type:ID, value:with, start:826, end:null

No:827, Code:20, type:ID, value:the, start:827, end:null

No:828, Code:20, type:ID, value:birth, start:828, end:null

No:829, Code:20, type:ID, value:of, start:829, end:null

No:830, Code:20, type:ID, value:a, start:830, end:null

No:831, Code:20, type:ID, value:new, start:831, end:null

No:832, Code:20, type:ID, value:child, start:832, end:null

No:833, Code:20, type:ID, value:or, start:833, end:null

No:834, Code:20, type:ID, value:with, start:834, end:null

No:835, Code:20, type:ID, value:menopause, start:835, end:null

No:836, Code:21, type:SEPARATORS, value:., start:null, end:null

No:837, Code:20, type:ID, value:Despite, start:837, end:null

No:838, Code:20, type:ID, value:higher, start:838, end:null

No:839, Code:20, type:ID, value:prevalence, start:839, end:null

No:840, Code:20, type:ID, value:among, start:840, end:null

No:841, Code:20, type:ID, value:older, start:841, end:null

No:842, Code:20, type:ID, value:females, start:842, end:null

No:843, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:844, Code:20, type:ID, value:polysomnographic, start:844, end:null

No:845, Code:20, type:ID, value:studies, start:845, end:null

No:846, Code:20, type:ID, value:suggest, start:846, end:null

No:847, Code:20, type:ID, value:better, start:847, end:null

No:848, Code:20, type:ID, value:preservation, start:848, end:null

No:849, Code:20, type:ID, value:of, start:849, end:null

No:850, Code:20, type:ID, value:sleep, start:850, end:null

No:851, Code:20, type:ID, value:continuity, start:851, end:null

No:852, Code:20, type:ID, value:and, start:852, end:null

No:853, Code:20, type:ID, value:slow-wave, start:853, end:null

No:854, Code:20, type:ID, value:sleep, start:854, end:null

No:855, Code:20, type:ID, value:in, start:855, end:null

No:856, Code:20, type:ID, value:older, start:856, end:null

No:857, Code:20, type:ID, value:females, start:857, end:null

No:858, Code:20, type:ID, value:than, start:858, end:null

No:859, Code:20, type:ID, value:in, start:859, end:null

No:860, Code:20, type:ID, value:older, start:860, end:null

No:861, Code:20, type:ID, value:males, start:861, end:null

No:862, Code:21, type:SEPARATORS, value:., start:null, end:null

No:863, Code:20, type:ID, value:Diagnostic, start:863, end:null

No:864, Code:20, type:ID, value:iVlaricers, start:864, end:null

No:865, Code:20, type:ID, value:Polysomnography, start:865, end:null

No:866, Code:20, type:ID, value:usually, start:866, end:null

No:867, Code:20, type:ID, value:shows, start:867, end:null

No:868, Code:20, type:ID, value:impairments, start:868, end:null

No:869, Code:20, type:ID, value:of, start:869, end:null

No:870, Code:20, type:ID, value:sleep, start:870, end:null

No:871, Code:20, type:ID, value:continuity, start:871, end:null

No:872, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:873, Code:20, type:ID, value:e, start:873, end:null

No:874, Code:21, type:SEPARATORS, value:., start:null, end:null

No:875, Code:20, type:ID, value:g, start:875, end:null

No:876, Code:21, type:SEPARATORS, value:., start:null, end:null

No:877, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:878, Code:20, type:ID, value:increased, start:878, end:null

No:879, Code:20, type:ID, value:sleep, start:879, end:null

No:880, Code:20, type:ID, value:latency, start:880, end:null

No:881, Code:20, type:ID, value:and, start:881, end:null

No:882, Code:20, type:ID, value:time, start:882, end:null

No:883, Code:20, type:ID, value:awake, start:883, end:null

No:884, Code:20, type:ID, value:after, start:884, end:null

No:885, Code:20, type:ID, value:sleep, start:885, end:null

No:886, Code:20, type:ID, value:onset, start:886, end:null

No:887, Code:20, type:ID, value:and, start:887, end:null

No:888, Code:20, type:ID, value:decreased, start:888, end:null

No:889, Code:20, type:ID, value:sleep, start:889, end:null

No:890, Code:20, type:ID, value:efficiency, start:890, end:null

No:891, Code:21, type:SEPARATORS, value:[, start:null, end:null

No:892, Code:20, type:ID, value:percentage, start:892, end:null

No:893, Code:20, type:ID, value:of, start:893, end:null

No:894, Code:20, type:ID, value:time, start:894, end:null

No:895, Code:20, type:ID, value:in, start:895, end:null

No:896, Code:20, type:ID, value:bed, start:896, end:null

No:897, Code:20, type:ID, value:asleep, start:897, end:null

No:898, Code:21, type:SEPARATORS, value:], start:null, end:null

No:899, Code:20, type:ID, value:and, start:899, end:null

No:900, Code:20, type:ID, value:may, start:900, end:null

No:901, Code:20, type:ID, value:show, start:901, end:null

No:902, Code:20, type:ID, value:increased, start:902, end:null

No:903, Code:20, type:ID, value:stage, start:903, end:null

No:904, Code:0, type:DIGIT, value:1, start:904, end:null

No:905, Code:20, type:ID, value:sleep, start:905, end:null

No:906, Code:20, type:ID, value:and, start:906, end:null

No:907, Code:20, type:ID, value:decreased, start:907, end:null

No:908, Code:20, type:ID, value:stages, start:908, end:null

No:909, Code:0, type:DIGIT, value:3, start:909, end:null

No:910, Code:20, type:ID, value:and, start:910, end:null

No:911, Code:0, type:DIGIT, value:4, start:911, end:null

No:912, Code:20, type:ID, value:sleep, start:912, end:null

No:913, Code:21, type:SEPARATORS, value:., start:null, end:null

No:914, Code:20, type:ID, value:The, start:914, end:null

No:915, Code:20, type:ID, value:severity, start:915, end:null

No:916, Code:20, type:ID, value:of, start:916, end:null

No:917, Code:20, type:ID, value:these, start:917, end:null

No:918, Code:20, type:ID, value:sleep, start:918, end:null

No:919, Code:20, type:ID, value:impairments, start:919, end:null

No:920, Code:20, type:ID, value:does, start:920, end:null

No:921, Code:20, type:ID, value:not, start:921, end:null

No:922, Code:20, type:ID, value:always, start:922, end:null

No:923, Code:20, type:ID, value:match, start:923, end:null

No:924, Code:20, type:ID, value:the, start:924, end:null

No:925, Code:20, type:ID, value:individual, start:925, end:null

No:926, Code:21, type:SEPARATORS, value:', start:null, end:null

No:927, Code:20, type:ID, value:s, start:927, end:null

No:928, Code:20, type:ID, value:clinical, start:928, end:null

No:929, Code:20, type:ID, value:presentation, start:929, end:null

No:930, Code:20, type:ID, value:or, start:930, end:null

No:931, Code:20, type:ID, value:subjective, start:931, end:null

No:932, Code:20, type:ID, value:complaint, start:932, end:null

No:933, Code:20, type:ID, value:of, start:933, end:null

No:934, Code:20, type:ID, value:poor, start:934, end:null

No:935, Code:20, type:ID, value:sleep, start:935, end:null

No:936, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:937, Code:20, type:ID, value:as, start:937, end:null

No:938, Code:20, type:ID, value:individuals, start:938, end:null

No:939, Code:20, type:ID, value:with, start:939, end:null

No:940, Code:20, type:ID, value:insomnia, start:940, end:null

No:941, Code:20, type:ID, value:often, start:941, end:null

No:942, Code:20, type:ID, value:underestimate, start:942, end:null

No:943, Code:20, type:ID, value:sleep, start:943, end:null

No:944, Code:20, type:ID, value:duration, start:944, end:null

No:945, Code:20, type:ID, value:and, start:945, end:null

No:946, Code:20, type:ID, value:overestimate, start:946, end:null

No:947, Code:20, type:ID, value:wakefulness, start:947, end:null

No:948, Code:20, type:ID, value:relative, start:948, end:null

No:949, Code:20, type:ID, value:to, start:949, end:null

No:950, Code:20, type:ID, value:polysomnography, start:950, end:null

No:951, Code:21, type:SEPARATORS, value:., start:null, end:null

No:952, Code:20, type:ID, value:Quantitative, start:952, end:null

No:953, Code:20, type:ID, value:electroencephalographic, start:953, end:null

No:954, Code:20, type:ID, value:analyses, start:954, end:null

No:955, Code:20, type:ID, value:may, start:955, end:null

No:956, Code:20, type:ID, value:indicate, start:956, end:null

No:957, Code:20, type:ID, value:that, start:957, end:null

No:958, Code:20, type:ID, value:individuals, start:958, end:null

No:959, Code:20, type:ID, value:with, start:959, end:null

No:960, Code:20, type:ID, value:insomnia, start:960, end:null

No:961, Code:20, type:ID, value:have, start:961, end:null

No:962, Code:20, type:ID, value:greater, start:962, end:null

No:963, Code:20, type:ID, value:high-frequency, start:963, end:null

No:964, Code:20, type:ID, value:electroencephalography, start:964, end:null

No:965, Code:20, type:ID, value:power, start:965, end:null

No:966, Code:20, type:ID, value:relative, start:966, end:null

No:967, Code:20, type:ID, value:to, start:967, end:null

No:968, Code:20, type:ID, value:good, start:968, end:null

No:969, Code:20, type:ID, value:sleepers, start:969, end:null

No:970, Code:20, type:ID, value:both, start:970, end:null

